Country;Region;Year;Population;Migrant.Stock;Refugee.Stock
Norway;Northern Europe;2000;4499;292440;47693
Sweden;Northern Europe;2000;8882;1003798;157220
United Kingdom;Northern Europe;2000;58951;4730165;186248
Albania;Southern Europe;2000;3122;76695;528
Andorra;Southern Europe;2000;65;42146;0
Bosnia and Herzegovina;Southern Europe;2000;3767;82952;38152
Croatia;Southern Europe;2000;4428;585298;22437
Gibraltar;Southern Europe;2000;31;8054;0
Greece;Southern Europe;2000;11142;1111665;6468
Holy See;Southern Europe;2000;1;785;0
Italy;Southern Europe;2000;57294;2121690;6437
Malta;Southern Europe;2000;397;21521;190
Portugal;Southern Europe;2000;10355;651472;433
San Marino;Southern Europe;2000;27;4045;0
Serbia;Southern Europe;2000;9488;856763;363293
Slovenia;Southern Europe;2000;1988;171018;2816
Spain;Southern Europe;2000;40904;1657285;6987
TFYR Macedonia;Southern Europe;2000;2035;125665;9050
Austria;Western Europe;2000;8069;996547;48787
Belgium;Western Europe;2000;10282;895900;18832
France;Western Europe;2000;59608;6278718;131115
Germany;Western Europe;2000;81488;8992631;906000
Liechtenstein;Western Europe;2000;33;15483;70
Luxembourg;Western Europe;2000;436;139750;759
Monaco;Western Europe;2000;32;21787;0
Netherlands;Western Europe;2000;15926;1556337;146180
Switzerland;Western Europe;2000;7167;1570756;57653
Belarus;Eastern Europe;2005;9622;1106982;474
Bulgaria;Eastern Europe;2005;7684;61074;4413
Czechia;Eastern Europe;2005;10258;322540;1829
Hungary;Eastern Europe;2005;10086;366787;8046
Poland;Eastern Europe;2005;38363;722509;4604
Republic of Moldova;Eastern Europe;2005;4158;173957;84
Romania;Eastern Europe;2005;21431;145162;2056
Russian Federation;Eastern Europe;2005;143618;11667588;1523
Slovakia;Eastern Europe;2005;5399;130491;368
Ukraine;Eastern Europe;2005;46892;5050302;2346
Channel Islands;Northern Europe;2005;154;70941;0
Denmark;Northern Europe;2005;5422;440383;43972
Estonia;Northern Europe;2005;1356;233701;21
Faeroe Islands;Northern Europe;2005;48;4583;0
Finland;Northern Europe;2005;5259;192169;10899
Iceland;Northern Europe;2005;295;25492;166
Ireland;Northern Europe;2005;4213;589046;7113
Isle of Man;Northern Europe;2005;76;41475;0
Latvia;Northern Europe;2005;2252;376725;38
Lithuania;Northern Europe;2005;3344;201209;531
Norway;Northern Europe;2005;4632;361144;43034
Sweden;Northern Europe;2005;9039;1125790;74915
United Kingdom;Northern Europe;2005;60287;5926156;303181
Albania;Southern Europe;2005;3079;64739;91
Andorra;Southern Europe;2005;79;50298;0
Bosnia and Herzegovina;Southern Europe;2005;3782;47272;10768
Croatia;Southern Europe;2005;4378;579273;2927
Gibraltar;Southern Europe;2005;32;9211;0
Greece;Southern Europe;2005;11301;1190707;2390
Holy See;Southern Europe;2005;1;798;0
Italy;Southern Europe;2005;58808;3954785;20675
Malta;Southern Europe;2005;407;24560;1939
Portugal;Southern Europe;2005;10566;771184;363
San Marino;Southern Europe;2005;29;4218;0
Serbia;Southern Europe;2005;9215;845120;138569
Slovenia;Southern Europe;2005;1996;197276;251
Spain;Southern Europe;2005;44043;4107226;5374
TFYR Macedonia;Southern Europe;2005;2060;127667;1274
Austria;Western Europe;2005;8254;1136270;45709
Belgium;Western Europe;2005;10547;882031;15282
France;Western Europe;2005;61234;6737600;137316
Germany;Western Europe;2005;81671;9402447;700016
Liechtenstein;Western Europe;2005;35;18898;150
Luxembourg;Western Europe;2005;458;150618;1822
Monaco;Western Europe;2005;34;21312;0
Netherlands;Western Europe;2005;16367;1736127;118189
Switzerland;Western Europe;2005;7410;1805437;48030
Belarus;Eastern Europe;2010;9473;1090378;589
Bulgaria;Eastern Europe;2010;7405;76287;5530
Czechia;Eastern Europe;2010;10536;398493;2449
Hungary;Eastern Europe;2010;9928;436616;5414
Poland;Eastern Europe;2010;38323;642417;15555
Republic of Moldova;Eastern Europe;2010;4084;157668;148
Romania;Eastern Europe;2010;20440;166126;1021
Russian Federation;Eastern Europe;2010;143154;11194710;4922
